,y_error
702285,-0.8311526479750779
702286,-0.8237829209896249
702287,-0.820923656927427
702730,-0.03185750636132315
702731,-0.03185750636132315
703182,0.8303490685476578
703183,0.8303490685476578
703184,0.8345507049430949
703185,0.8303135888501743
703550,0.8359173126614987
703941,0.8519665531124188
703942,0.8519665531124188
703943,0.8452002542911634
703944,0.8500651890482399
704324,0.8475414605760838
704325,0.8602119736465196
704711,0.864146653403439
704712,0.864146653403439
704713,0.8571428571428571
704714,0.8466120625465376
705093,0.8699019101703666
705094,0.8699019101703666
705475,0.8806008146639511
705476,0.8806008146639511
705477,0.8737270875763747
705478,0.8737270875763747
705850,0.8771669143140168
706240,0.893196290917216
706241,0.8771181556195965
706242,0.8828880045480386
706617,0.8912876712328767
706618,0.8912876712328767
707019,0.8984542941959259
707020,0.8984542941959259
707021,0.8969030154849226
707022,0.8993489717887775
707396,0.9012490241998439
707397,0.9012490241998439
707780,0.9065420560747663
707781,0.907846470430348
707782,0.9071653898152321
707783,0.9080250840679814
708165,0.9143359718557608
708166,0.9143359718557608
708555,0.9208013773673501
708556,0.9183964506417367
708557,0.9143244158482898
708558,0.9161988446831014
708948,0.9215748280496482
708949,0.9215748280496482
709347,0.9277231329690346
709348,0.9277231329690346
709349,0.9277231329690346
709350,0.9241475808233302
709351,0.9234200743494424
709724,0.9257842928971036
709725,0.9257842928971036
710103,0.9313973624617025
710104,0.9313973624617025
710105,0.9294740324181276
710106,0.9299421661409043
710474,0.9327515400410678
710475,0.9327515400410678
710860,0.9341609536162065
710861,0.9352644683306006
710862,0.9340382678751259
711247,0.9367438432721243
711248,0.9379183697648243
711639,0.9412603364699174
711640,0.9412603364699174
711641,0.9421648188364384
711642,0.9401927766809894
712021,0.937188550237571
712022,0.9412603364699174
712414,0.9426977964896932
712415,0.9426977964896932
712416,0.9426977964896932
712417,0.9407876768449227
712418,0.9414939550949913
712791,0.9450900948928457
712792,0.9450900948928457
713179,0.9462505870688306
713180,0.9462505870688306
713181,0.9462505870688306
713182,0.9443719668110421
713183,0.9477564777754371
713560,0.9461719362424876
713561,0.9461719362424876
713940,0.9460280492126981
713941,0.9460280492126981
713942,0.9463664278403275
713943,0.9456233421750663
714316,0.9429653793538882
714317,0.9456233421750663
714709,0.9447888987304399
714710,0.9447888987304399
714711,0.9433906048266958
714712,0.9471374527112232
715094,0.9441069258809235
715475,0.9487330006848645
715476,0.9487330006848645
715477,0.9480313398790042
715478,0.9437652811735942
715846,0.9472359279025274
715847,0.9472359279025274
716229,0.9452788104089219
716230,0.9452788104089219
716231,0.9438241626195364
716232,0.9413056498303054
716613,0.9458773354995939
716614,0.9458773354995939
717002,0.9425737664269774
717003,0.9418324291742013
717004,0.9399538106235565
717388,0.939614890885751
717389,0.939614890885751
717775,0.9378562421185372
717776,0.9378562421185372
717777,0.9380770211680693
717778,0.9345794392523364
718154,0.9318049452004024
718155,0.9318049452004024
718550,0.9252735799895779
718551,0.9224773541183906
718552,0.9247323115683392
718930,0.9284118893534162
718931,0.9206340648083248
719317,0.914491108588725
719318,0.914491108588725
719319,0.914491108588725
719320,0.9176676130159424
719321,0.9199374685947184
720082,0.8922401171303075
720083,0.8957866163106338
720084,0.8898179446124651
720458,0.8688646504709965
720840,0.870043912683765
720841,0.870043912683765
720842,0.870043912683765
720843,0.8697371778514927
720844,0.8782398267846908
721214,0.8396430502974581
721599,0.8225022974924511
721600,0.8191326174871009
721601,0.8209676306163296
721602,0.8281947400947607
721977,0.8066580330616288
722363,0.7687784800823166
722364,0.7687784800823166
722365,0.7710468382297123
722366,0.773838261919131
722727,0.729208250166334
722728,0.7246845681009382
723110,0.6852141294154424
723111,0.6727331816704583
723112,0.6751353602665556
723113,0.6685752778713372
723493,0.5765605095541402
723494,0.5765605095541402
723894,0.5260226283724978
723895,0.5260226283724978
723896,0.5224594666430407
723897,0.514305898975627
724283,0.4695927096894179
724284,0.4695927096894179
724672,0.3589102029469002
724673,0.3589102029469002
724674,0.3566486588948915
724675,0.3573025335320417
725045,0.2794218185369665
725046,0.2794218185369665
725427,0.18396360534546488
725428,0.18396360534546488
725429,0.17741611412497488
725430,0.1778378919947901
725809,0.1014244403984149
725810,0.12791172864732325
726194,0.0
726195,0.0028
726578,-0.0929092909290929
726579,-0.0929092909290929
726969,-0.19457013574660634
726970,-0.19457013574660634
726971,-0.17969052224371374
726972,-0.1841459825370352
727352,-0.2636844636844637
727749,-0.33224786897806724
727750,-0.33224786897806724
727751,-0.33564078578110385
727752,-0.33905579399141633
728128,-0.4182825484764543
728129,-0.4090399701158013
728515,-0.4925475415453144
728516,-0.4925475415453144
728517,-0.4907423734791042
728518,-0.4895977808599168
728881,-0.5542662116040956
728882,-0.5542662116040956
729275,-0.6135962802629469
729276,-0.6095968663293618
729277,-0.6343739942066302
729651,-0.7122812949032203
729652,-0.7122812949032203
730040,-0.7635234998522021
730041,-0.764445799664583
730042,-0.7737968726279034
730419,-0.7969298245614035
730420,-0.7969298245614035
730805,-0.8212020953956438
730806,-0.8235046925339683
730807,-0.8241042345276873
731181,-0.8459337964854925
731182,-0.8459337964854925
731561,-0.8614751503640392
731562,-0.8643067846607669
731563,-0.8635014836795252
732315,-0.8882326215356656
732316,-0.8917060092090692
732317,-0.8917060092090692
732318,-0.8859256607600978
732319,-0.8873504978495257
732691,-0.8992737230622693
732692,-0.8992737230622693
733081,-0.9113576511458509
733082,-0.9048047710138405
733083,-0.9091980470284527
733466,-0.9168779627383971
733850,-0.9283380756665612
733851,-0.9283380756665612
733852,-0.926006528835691
733853,-0.9255472120146988
734222,-0.930168776371308
734223,-0.930168776371308
734614,-0.9332365747460087
734615,-0.9332365747460087
734616,-0.9336800370732712
734617,-0.9278451612903226
734996,-0.9332583810302535
734997,-0.9332583810302535
735376,-0.9404802164355766
735377,-0.9349115375031148
735378,-0.93738416069729
735379,-0.9416712839369364
735757,-0.9432609994027473
736153,-0.9378140391025322
736154,-0.9378140391025322
736155,-0.9456478138788608
736156,-0.9441559713921819
736530,-0.9414954479876623
736531,-0.9414954479876623
736922,-0.9443305010254908
736923,-0.9443305010254908
736924,-0.9406392694063926
736925,-0.9425977449114072
737292,-0.9408450704225352
737293,-0.9408450704225352
737679,-0.9403703521783977
737680,-0.9403703521783977
737681,-0.9382929357752876
737682,-0.9411764705882353
738059,-0.9447751488169677
738060,-0.9447751488169677
738449,-0.9440287339120024
738450,-0.939187496869208
738451,-0.9446477813988469
738837,-0.9384225209231549
738838,-0.9384225209231549
739223,-0.9416154078854492
739224,-0.9376956633307673
739225,-0.9413278435409161
739605,-0.9396560708702449
739606,-0.9396560708702449
739984,-0.9413946200052233
739985,-0.9413946200052233
739986,-0.9393081761006289
739987,-0.9380954887613834
740359,-0.9374696257897295
740360,-0.9374696257897295
740738,-0.9403083700440529
740739,-0.9403083700440529
740740,-0.9393939393939394
740741,-0.937636761487965
741120,-0.9329805996472663
741121,-0.9345730027548209
741503,-0.9344726120416478
741504,-0.9329805996472663
741505,-0.9334282662869349
741506,-0.9333695455368459
741885,-0.9281504001985481
741886,-0.9281504001985481
742273,-0.9252951422488872
742274,-0.9275755228505035
742275,-0.9246210569438754
742658,-0.9119966206702337
742659,-0.9119966206702337
743045,-0.919791739956378
743046,-0.919791739956378
743047,-0.9189724770642201
743048,-0.9185303514376997
743423,-0.9127026008292499
743424,-0.9127026008292499
743800,-0.9096098953377736
743801,-0.9096098953377736
743802,-0.9089121371824117
743803,-0.9044523886902828
744176,-0.8941305540318157
744177,-0.8941305540318157
744555,-0.8956043956043956
744556,-0.8956043956043956
744557,-0.8935185185185185
744558,-0.9004348211908776
744931,-0.8815958815958816
744932,-0.8815958815958816
745312,-0.8917859243285631
745313,-0.8850392137397002
745314,-0.8873406463089238
745690,-0.8718733509234828
745691,-0.8718733509234828
746074,-0.8709960508995174
746075,-0.8709960508995174
746076,-0.8752917639213071
746077,-0.8716755319148937
746448,-0.8601346297681376
746449,-0.8601346297681376
746828,-0.8663322884012539
746829,-0.8663322884012539
746830,-0.8663322884012539
746831,-0.8568512375606022
746832,-0.8580106302201974
747198,-0.8641221374045801
747587,-0.8451428571428572
747588,-0.841815874806147
